# chữ Hán → âm Hán-Việt ('|' ngăn cách nếu đa âm, âm đầu = mặc định).
囉	la
囊	nang
囌	tô
囍	hỉ
囑	chúc
囓	niết
囔	nang
囗	vi
囘	hồi
囙	nhân
囚	tù
四	tứ
囝	kiển|cưỡng|tể|nga|niên|niếp|nam
回	hồi
囟	tín
因	nhân
囡	nam
团	đoàn
団	đoàn
囤	độn|tồn|đồn
囦	uyên
囧	quýnh
囪	song|thông
囫	hốt
囬	hồi
园	viên
囮	ngoa
囯	quốc
困	khốn
囱	song|thông
囲	vy
図	đồ
围	vi|vây
囵	luân
囶	quốc
囷	khuân
囹	linh
固	cố
囻	quốc
国	quốc
图	đồ
囿	hữu
圀	quốc
圂	hỗn
圃	phố
圄	ngữ
圅	hàm
圆	viên
圇	luân
圈	khuyên|quyển
圉	ngữ
圊	thanh
國	quốc
圌	thuỳ
圍	vi|vây
圏	khuyên
園	viên
圓	viên
圕	thoan|đồ thư quán
圖	đồ
團	đoàn
圛	dịch
圜	hoàn|viên
圞	loan
土	thổ
圢	đinh
圣	khốt|thánh
在	tại
圩	vu
圪	khất
圬	ô
圭	khuê
圮	bĩ
圯	di
地	địa
圳	quyến
圹	khoáng
场	tràng|trường
圻	kỳ
圾	sắc
址	chỉ
坂	phản
均	quân
坊	phường|phòng
坋	phấn
坌	bộn
坍	than
坎	khảm
坏	hoại
坐	toạ
坑	khanh
坒	bệ
坕	kinh
块	khối
坚	kiên
坛	đàn|đàm
坜	lịch
坝	bá
坞	ổ
坟	phần
坠	truỵ
坡	pha
坤	khôn
坦	thản
坨	đà
坩	kham
坪	bình
坫	điếm
坭	nê
坯	phôi
坰	quynh
坱	dưỡng
坲	phật
坳	ao
坴	lục
坵	khâu
坷	khả
坻	trì|để
坼	sách
坿	phụ
垂	thuỳ
垃	lạp
垄	lũng
垅	lũng
垆	lư
型	hình
垌	dũng
垒	luỹ
垓	cai
垔	nhân
垕	hậu
垖	đôi
垗	triệu
垚	nghiêu
垛	đoá
垜	đoá
垝	quỷ
垞	xá
垠	ngần
垡	phạt
垢	cấu
垣	viên
垤	điệt
垦	khẩn
垧	thưởng
垩	ác
垫	điếm
垮	khoả
垯	đáp
垲	khải
垵	am
垺	phu
垾	hạn
埂	canh
埃	ai
埄	bổng|phong
埆	xác
埋	mai|man
埌	lãng
城	thành
埏	thiên|duyên|diên
埒	liệt
埔	bộ|phố
埕	trình
埘	thì
埙	huân
埚	qua
埜	dã
埝	niệm
域	vực
埠	phụ
埤	bì
埧	cụ
埭	đại
埯	am
埰	thái
埲	bồng
埳	khảm
埴	thực
埵	đoả
埶	nghệ
執	chấp
埸	dịch
培	bồi
基	cơ
埼	kỳ
埽	tảo
堀	quật
堂	đường
堃	khôn
堄	nghê
堅	kiên
堆	đồi
堇	cận
堉	dục
堊	ác
堋	bằng
堌	cố
堍	thố
堎	lăng
堑	tiệm
堕	đoạ
堘	thăng
堙	nhân
堝	qua
堞	điệp
堠	hậu
堡	bảo
堤	đê
堦	giai
堧	nhuyên
堨	yết
堪	kham
堭	hoàng
堮	ngạc
堯	nghiêu
堰	yển
報	báo
堲	tức
堳	thi
場	tràng|trường
堵	đổ
堽	cương
堿	kiềm
塃	hoang
塄	lăng
塈	ký
塊	khối
塋	doanh
塌	tháp
塍	thăng
塏	khải
塑	tố
塒	thì
塓	mịch
塔	tháp
塕	ổng
塗	đồ
塘	đường
塙	xác
塚	trủng
塞	tắc|tái
塟	táng
塠	đôi
塡	điền
塢	ổ
塤	huân
塥	cách
塩	diêm
填	điền
塲	tràng|trường
塵	trần
塹	tiệm
塼	chuyên
塽	sảng
塾	thục
塿	lũ
墀	trì
墁	mạn
境	cảnh
墅	thự
墈	khám
墉	dung
墊	điếm
墐	cận
墓	mộ
墖	tháp
増	tăng
墙	tường
墜	truỵ
墝	khao|nghiêu
增	tăng
墟	khư
墠	thiện
墦	phiền
墨	mặc
墩	đôn
墫	tôn
墬	địa
墮	đoạ
墰	đàm
墳	phần
墺	áo
墻	tường
墼	kích
墾	khẩn
壁	bích
壄	dã
壅	ủng|ung
壇	đàn
壈	lẫm
壎	huân
壑	hác
壒	ái
壓	áp
壔	đảo
壕	hào
壖	nhuyên
壘	luỹ
壙	khoáng
壚	lư
壜	đàm
壝	duy
壞	hoại
壟	lũng
壠	lũng
壢	lịch
壤	nhưỡng
壩	bá
士	sĩ
壬	nhâm
壮	tráng
壯	tráng
声	thanh
壱	nhất
壳	xác
壴	trú
壶	hồ
壸	khổn
壹	nhất
壺	hồ
壻	tế
壼	khổn
壽	thọ
壿	chung
夀	thọ
夂	tri
处	xử|xứ
夅	hàng
夆	phùng
备	bị
夊	tuy
夌	lăng
复	phục|phức|phúc
夏	hạ
夔	quỳ
夕	tịch
外	ngoại
夗	uyển
夙	túc
多	đa
夜	dạ
够	cú
夠	cú
夢	mộng
夣	mộng
夤	dần
夥	hoả
大	đại
天	thiên
太	thái
夫	phu|phù
夬	quái
夭	yểu
央	ương
夯	bổn|hãng|kháng
失	thất
头	đầu
夷	di
夸	khoa
夹	giáp
夺	đoạt
夾	giáp
奁	liêm
奂	hoán
奄	yểm|yêm
奇	cơ|kỳ
奈	nại
奉	phụng
奋	phấn
奎	khuê
奏	tấu
奐	hoán
契	khế|khất
奓	xỉ|xa|tra
奔	bôn
奕	dịch
奖	tưởng|thưởng
套	sáo
奘	trang
奚	hề
奠	điện
奡	ngạo
奢	xa
奥	ảo|áo
奧	ảo|áo
奨	tưởng
奩	liêm
奪	đoạt
奬	tưởng
奭	thích
奮	phấn
女	nữ|nhữ
奴	nô
奶	nãi
奸	gian
她	tha
奼	xá
好	hảo|hiếu
妁	chước
如	như
妃	phi
妄	vọng
妆	trang
妇	phụ
妈	má
妉	đam
妊	nhâm
妍	nghiên
妒	đố
妓	kỹ
妖	yêu
妗	cấm
妘	vân
妙	diệu
妝	trang
妞	nữu
妣	tỷ
妤	dư
妥	thoả
妨	phương
妩	vũ
妪	ẩu
妫	quy
妬	đố
妮	ni
妯	trục
妲	đát
妳	nhĩ|nãi|nễ
妸	a
妹	muội
妺	mạt
妻	thê|thế
妾	thiếp
姁	hủ
姅	bán
姆	mẫu
姉	tỷ
姊	tỷ
始	thuỷ
姍	san
姐	tỷ|thư
姑	cô
姒	tự
姓	tính
委	uỷ|uy
姗	san
姘	phanh
姙	nhâm
姚	diêu
姜	khương
姝	xu
姞	cật
姣	giao
姤	cấu
姥	lão|mỗ|mụ
姦	gian
姧	gian
姨	di
姪	điệt
姫	cơ
姬	cơ
姮	hằng
姱	khoa
姶	ấp
姸	nghiên
姹	xá
姻	nhân
姽	quỷ
姿	tư
娀	tung
威	uy
娃	oa
娄	lâu
娅	á
娆	nhiêu
娇	kiều
娈	luyến
娉	phinh
娌	lý
娑	sa
娒	mỗ
娓	vỉ
娘	nương
娛	ngu
娜	na
娟	quyên
娠	thần
娣	đễ
娥	nga
娩	miễn|vãn
娭	ai
娯	ngu
娱	ngu
娲	oa
娴	nhàn
娶	thú
娸	kỳ
娼	xướng
娿	a
婀	a
婁	lâu
婆	bà
婉	uyển
婊	biểu
婐	oả
婕	tiệp
婚	hôn
婞	hạnh
婢	tỳ
婣	nhân
婤	chu
婥	sước
婦	phụ
婧	tinh
婪	lam
婬	dâm
婭	á
婳	hoạ
婴	anh
婵	thuyền
婶	thẩm
婷	đình
婹	yêu
婺	vụ
婼	xúc
婿	tế
媄	mỹ
媅	đam
媍	phụ
媒	môi
媕	an
媖	anh
媚	mị
媛	viên|viện
媞	thị
媟	tiết
媠	noạ|đoạ
媢	mạo
媧	oa
媪	ảo
媭	tu
媮	thâu
媯	quy
媰	trâu
媲	bễ
媳	tức
媵	dắng
媸	xuy
媺	mỹ
媻	bàn
媼	ảo
媽	má
媾	cấu
媿	quý
嫁	giá
嫂	tẩu
嫄	nguyên
嫈	oanh
嫉	tật
嫋	điệu
嫌	hiềm
嫏	lang
嫒	ái
嫔	tần
嫕	ế
嫖	phiêu
嫗	ẩu
嫘	luy
嫚	mạn
嫜	chương
嫠	ly
嫡	đích
嫣	yên
嫦	thường
嫩	nộn
嫪	liệu
嫫	mô
嫭	hộ
嫮	hộ
嫱	tường
嫵	vũ
嫺	nhàn
嫻	nhàn
嫽	liêu
嫿	hoạ
嬀	quy
嬃	tu
嬈	nhiêu
嬉	hi
嬋	thuyền
嬌	kiều
嬖	bế
嬗	thiện
嬙	tường
嬛	hoàn|quỳnh|huyên
嬝	điệu
嬡	ái
嬢	nương
嬤	ma
嬪	tần
嬬	nhu
嬭	nãi
嬰	anh
嬲	niễu
嬴	doanh
嬷	ma
嬸	thẩm
嬾	lãn
嬿	yến
孀	sương
孃	nương
孅	tiêm
孌	luyến
孏	lãn
子	tử|tý
孑	kiết
孓	quyết
孔	khổng
孕	dựng
孖	tư
字	tự
存	tồn
孙	tôn
孚	phu
孛	bột
孜	tư
孝	hiếu
孟	mạnh
孢	bào
季	quý
孤	cô
孥	nô
学	học
孨	chuyển
孩	hài
孪	loan
孫	tôn
孬	nạo
孰	thục
孱	sàn
孳	tư
孵	phu
孶	tư
學	học
孺	nhụ
孻	nai
孼	nghiệt
孽	nghiệt
孿	loan
宀	miên
宁	trữ|ninh
宂	nhũng
它	tha
宄	quỹ
宅	trạch
宇	vũ
守	thủ
安	an
宊	gia|đột
宋	tống
完	hoàn
宍	nhục
宏	hoành
宓	mật
宕	đãng
宗	tông
官	quan
宙	trụ
定	định
宛	uyển|uyên
宜	nghi
宝	bảo
实	thực
宠	sủng
审	thẩm
客	khách
宣	tuyên
室	thất
宥	hựu
宦	hoạn
宧	di
宨	điệu
宪	hiến
宫	cung
宬	thành
宮	cung
宰	tể
害	hại
宴	yến
宵	tiêu
家	gia
宸	thần
容	dung
宼	khấu
宽	khoan
宾	tân
宿	túc|tú
寀	thái
寁	toản
寂	tịch
寃	oan
寄	ký
寅	dần
密	mật
寇	khấu
富	phú
寎	kính
寐	mị
寑	tẩm
寒	hàn
寓	ngụ
寔	thực
寕	ninh
寖	tẩm
寘	trí
寛	khoan
寝	tẩm
寞	mịch
察	sát
寠	cũ
寡	quả
寢	tẩm
寤	ngụ
寥	liêu
實	thực
寧	ninh
寨	trại
審	thẩm
寪	vĩ
寫	tả
寬	khoan
寮	liêu
寰	hoàn
寳	bảo
寵	sủng
寶	bảo
寸	thốn
对	đối
寺	tự
寻	tầm
导	đạo
対	đối
寿	thọ
封	phong
専	chuyên
尃	phu
射	xạ
尅	khắc
将	tương|tướng|thương
將	tương|tướng|thương
專	chuyên
尉	uý|uất
尊	tôn
尋	tầm
尌	thụ
對	đối
導	đạo
小	tiểu
少	thiểu|thiếu
尒	nhĩ
尓	nhĩ
尔	nhĩ
尖	tiêm
尗	thúc
尘	trần
尙	thượng
尚	thượng
尝	thường
尟	tiển
尠	tiển
尢	uông
尤	vưu
尥	liệu
尧	nghiêu
尨	bàng|mang
尪	uông
尬	giới
尰	thũng
就	tựu
尲	giam
尴	giam
尶	giam
尷	giam
尸	thi
尹	doãn
尺	xích|chỉ|thước
尻	khào
尼	ni
尽	tận
尾	vĩ
尿	niệu|tuy
局	cục
屁	thí
层	tầng
屄	bi
居	cư|cớ
屆	giới
屈	khuất
屉	thế
届	giới
屋	ốc
屌	điểu
屍	thi
屎	thỉ
屏	bình|bính
屐	kịch
屑	tiết
展	triển
屖	tê
屙	a
屛	bình
屜	thế
屝	phỉ
属	thuộc|chúc|chú
屠	đồ
屡	lũ
屢	lũ
屣	tỷ
層	tầng
履	lý
屦	lũ
屧	tiệp
屨	lũ
屩	cược
屪	liêu
屬	thuộc|chúc|chú
屭	hý
屮	triệt
屯	đồn|truân
山	sơn
屴	lực
屹	ngật
屺	dĩ
屼	ngột
屿	tự
岁	tuế
岂	khải|khởi
岅	phản
岈	ha
岊	tiết
岌	ngập
岍	khiên
岐	kỳ
岑	sầm
岒	kiềm
岔	xoá
岖	khu
岗	cương
岘	hiện
岙	áo
岚	lam
岛	đảo
岝	trách
岞	trách
岡	cương
岢	khả
岣	cẩu
岧	thiều
岨	thư
岩	nham
岫	tụ
岬	giáp
岭	linh|lĩnh
岱	đại
岳	nhạc
岵	hỗ
岷	dân
岸	ngạn
岹	thiều
岽	đông
岿	khuy
峄	dịch
峇	khạp
峋	tuân
峒	động|đồng
峙	trĩ
峚	mật
峝	đồng
峞	quỵ
峡	hiệp|hẹp
峣	nghiêu
峤	kiệu
峥	tranh
峦	loan
峨	nga
峩	nga
峪	dục
峭	tiễu
峯	phong
峰	phong
峱	nạo
峴	hiện
島	đảo
峻	tuấn
峽	hiệp|hẹp
峿	ngô
崁	khám
崂	lao
崃	lai
崄	hiểm
崆	không
崇	sùng
崋	hoa
崌	cư
崍	lai
崎	khi
崑	côn
崒	tuỵ|tốt
崔	thôi
崖	nhai
崗	cương
崘	lôn
崙	lôn
崚	lăng
崛	quật
崞	quách
崟	dần
崢	tranh
崤	hào
崦	yêm
崧	tung
崩	băng
崬	đông
崭	sàm|tiệm
崮	cố
崱	trắc
崳	du
崴	uy
崽	tải
崿	ngạc
嵂	luật
嵇	kê
嵊	thặng
嵋	my
嵌	khảm
嵎	ngu
嵐	lam
嵒	nham
嵗	tuế
嵘	vanh
嵚	khâm
嵝	lũ
嵩	tung
嵫	tư
嵬	ngôi
嵯	tha
嵺	lũ
嵾	sâm
嶁	lũ
嶂	chướng
嶄	sàm|tiệm
嶅	ngao
嶇	khu
嶋	đảo
嶌	đảo
嶒	tằng
嶓	ba
嶔	khâm
嶗	lao
嶙	lân
嶝	đặng
嶞	đoạ
嶟	tôn
嶠	kiệu
嶡	quyết
嶢	nghiêu
嶧	dịch
嶪	nghiệp
嶫	nghiệp
嶮	hiểm
嶰	giải
嶲	tây
嶴	áo
嶷	nghi
嶸	vanh
嶺	lĩnh
嶼	tự
嶽	nhạc
巂	huề|tây
巃	lung
巅	điên
巆	vanh
巇	hy
巉	sàm
巋	khuy
巍	nguy
巒	loan
巓	điên
巔	điên
巖	nham
巘	nghiễn
巛	xuyên
巜	quái
川	xuyên
州	châu
巟	hoang
巠	kinh
巡	tuần
巢	sào
巣	sào
工	công
左	tả
巧	xảo
巨	cự
巩	củng
巫	vu
差	sai|si
己	kỷ
已	dĩ
巳	tỵ
巴	ba
巵	chi
巷	hạng
巹	cẩn
巻	quyển
巽	tốn
巾	cân
巿	phất
帀	táp
币	tệ
市	thị
布	bố
帄	đinh
帅	soái
帆	phàm
师	sư
帋	chỉ
希	hy
帏	vy
帐	trướng
帑	thảng
帔	bí
帕	phách
帖	thiếp|thiệp
帗	phạt
帘	liêm
帙	trật
帚	chổi
帛	bạch
帜	xí
帝	đế
帟	diệc
帡	bình
帣	quyến
帥	soái
带	đới
帧	tránh
帨	thuế
師	sư
帬	quần
席	tịch
帮	bang
帯	đới
帰	quy
帱	trù|đào
帲	bình
帳	trướng
帶	đới
帷	duy
常	thường
帹	thiếp|sáp
帻	trách
帼	quắc
帽	mạo
幀	tránh
幂	mịch
幃	vy
幄	ác
幅	bức
幇	bang
幈	bình
幋	bàn
幌	hoảng
幏	giá
幑	huy
幔	mạn
幕	màn|mạc
幗	quắc
幘	trách
幙	mạc
幚	bang
幛	trướng
幞	phốc
幟	xí
幠	hu
幡	phướn
幢	tràng
幣	tệ
幦	mịch
幨	xiêm
幩	phần
幪	mông
幫	bang
幬	trù|đào
幮	trù
幰	hiển
干	can|càn|kiền|cán
平	bình
年	niên
幵	kiên
并	tinh|tịnh|tính
幷	tịnh|tính
幸	hạnh
幹	cán
幻	huyễn
幼	ấu
幽	u
幾	cơ|ky|kỷ
广	nghiễm|quảng
庀	phỉ
庁	sảnh|thính
庄	trang
庆	khánh
庇	tý
床	sàng
庋	kỹ|quỷ
序	tự
庐	lư
庑	vu|vũ
库	khố
应	ưng|ứng
底	để
庖	bào
店	điếm
庙	miếu
庚	canh
府	phủ
庞	bàng
废	phế
庠	tường
庤	chí
庥	hưu
度	độ|đạc
座	toạ|toà
庫	khố
庬	bàng
庭	đình
庳	tý
庵	am
庶	thứ
康	khang
庸	dung
庹	thoả
庼	khoảnh
庽	ngụ
庾	dữu
庿	miếu
廀	sưu
廁	xí
廂	sương
廄	cứu
廆	hối
廈	hạ
廉	liêm
廊	lang
廋	sưu
廌	trãi
廎	khoảnh
廏	cứu
廐	cứu
廑	cận|cần
廒	ngao
廓	khuếch
廕	ấm
廖	liệu
廙	dị
廚	trù
廛	triền
廝	tư
廞	hân
廟	miếu
廠	xưởng
廡	vu|vũ
廢	phế
廣	quảng
廥	quái
廧	tường
廨	giải
廩	lẫm
廪	lẫm
廬	lư
廱	ung
廳	sảnh|thính
廴	dẫn
廵	tuần
延	diên
廷	đình
廸	địch
建	kiến
廻	hồi
廼	nãi
廾	củng
廿	nhập
开	khai
弁	biện
异	dị
弃	khí
弄	lộng
弆	cử
弇	yểm
弈	dịch
弊	tệ
弋	dặc
弌	nhất
弍	nhị
弎	tam
式	thức
弑	thí
弒	thí
弓	cung
弔	điếu
引	dẫn
弗	phất
弘	hoằng
弛	thỉ
弝	bá
弟	đệ|đễ
张	trương
弢	thao
弣	phủ
弤	để
弥	di|my
弦	huyền
弧	hồ
弨	siêu
弩	nỗ
弭	mị
弮	khuyên
弯	loan
弰	sao
弱	nhược
張	trương
弶	cương
強	cường|cưỡng
弸	bằng
弹	đạn|đàn
强	cường|cưỡng
弼	bật
弾	đạn
彀	cấu
彄	khu
彆	biệt
彈	đạn|đàn
彊	cường|cưỡng
彌	di
彎	loan
彐	kệ
彑	kệ
归	quy
当	đang|đương|đáng
彔	lục
录	lục
彖	thoán
彗	tuệ
彘	trệ
彙	hội
彛	di
彝	di
彞	di
彟	hoạch
彠	hoạch
彡	sam
形	hình
彤	đồng
彥	ngạn
彦	ngạn
彧	úc
彨	si
彩	thái
彪	bưu
彫	điêu
彬	bân
彭	bành
彰	chương
影	ảnh
彲	si
彳	xích
彴	chước
彷	phảng|bàng
彸	chung
役	dịch
彻	triệt
彼	bỉ
彽	đê
彿	phất
往	vãng
征	chinh|trưng|chứng|chuỷ
徂	tồ
徃	vãng
径	kính
待	đãi
徇	tuẫn
很	ngận
徉	dương
徊	hồi
律	luật
後	hậu
徐	từ
徑	kính
徒	đồ
従	tòng
徕	lai
得	đắc
徘	bồi
徙	tỷ
徜	thảng
從	tòng|tùng
徠	lai
御	ngự
徧	biến
徨	hoàng
復	phục
循	tuần
徬	bàng
徭	dao
微	vi
徯	hề
徳	đức
徴	trưng|chứng
徵	trưng|chứng|chuỷ
德	đức
徹	triệt
徼	kiêu|kiếu
徽	huy
心	tâm
忄	tâm
必	tất
忆	ức
忉	đao
忌	kỵ
忍	nhẫn
忏	sám
忐	thảm
忑	thắc
忒	thắc
忕	thệ|thái
忖	thốn
志	chí
忘	vong
忙	mang
応	ưng
忝	thiểm
忞	mân
忠	trung
忡	xung
忤	ngỗ
忧	ưu
忪	chung
快	khoái
忭	biện
忮	kỹ
忱	thầm
忲	thái
念	niệm
忸	nữu
忺	hiêm
忻	hân
忽	hốt
忾	khái
忿	phẫn
怀	hoài
态	thái
怂	tủng
怃	vũ
怄	âu
怅	trướng
怆	sảng
怊	siêu
怍	tạc
怎	chẩm
怏	ưởng
怒	nộ
怔	chinh
怕	phạ
怖	bố
怗	thiếp
怙	hỗ
怚	thư
怛	đát
怜	liên
思	tư|tứ
怞	du
怠	đãi
怡	di
急	cấp
怦	phanh
性	tính
怨	oán
怩	ni
怪	quái
怫	phí|phật
怭	tất
怯	khiếp
怱	thông
怲	bính
怳	hoảng
怵	truật
怹	than
总	tổng
怼	dỗi
怿	dịch
恁	nhẫm|nâm
恂	tuân
恃	thị
恆	hằng
恇	khuông
恉	chỉ
恋	luyến
恌	khiêu
恍	hoảng
恐	khủng
恒	hằng
恓	tây
恔	hiệu
恕	thứ
恙	dạng
恚	huệ
恛	hồi
恝	kiết
恟	hung
恠	quái
恡	lận
恢	khôi
恣	tứ
恤	tuất
恥	sỉ
恧	nục
恨	hận
恩	ân
恪	khác
恫	đỗng
恬	điềm
恭	cung
息	tức
恰	kháp
恳	khẩn
恶	ác|ố
恸	thống
恹	yêm
恺	khải
恻	trắc
恼	não
恽	uẩn
恿	dũng
悀	dũng
悁	quyên|quyến
悃	khổn
悄	tiễu|thiểu
悅	duyệt
悆	dự
悉	tất
悊	triết
悌	đễ
悍	hãn
悐	thích
悒	ấp
悔	hối
悕	hy
悖	bội
悚	tủng
悛	thuân
悝	khôi|lý
悞	ngộ
悟	ngộ
悠	du
悢	lượng
患	hoạn
悤	thông
悦	duyệt
悧	lợi
您	nâm
悪	ác
悫	xác
悬	huyền
悭	khan
悮	ngộ
悯	mẫn
悰	tông
悱	phỉ
悲	bi
悳	đức
悴	tuỵ
悵	trướng
悶	muộn
悷	lệ
悸	quý
悻	hãnh
悼	điệu
悽	thê
悾	không
惄	nịch
情	tình
惆	trù
惇	đôn
惈	quả
惊	kinh
惋	oản
惌	uyên
惎	kỵ
惏	lam|lâm
惑	hoặc
惓	quyền
惔	đàm
惕	thích
惘	võng
惙	chuyết
惚	hốt
惛	hôn
惜	tích
惝	thảng
惟	duy
惠	huệ
惡	ác|ố
惥	dũng
惦	điếm
惧	cụ
惨	thảm
惩	trừng
惪	đức
惫	bại
惬	khiếp
惭	tàm
惮	đạn
惯	quán
惰	đoạ
惱	não
惲	uẩn
想	tưởng
惴	chuý
惶	hoàng
惷	xuẩn
惸	quỳnh
惹	nhạ
惺	tinh
惻	trắc
愀	thiểu
愁	sầu
愆	khiên
愈	dũ
愉	du
愊	phức
愍	mẫn
愎	phức
意	ý
愐	miễn
愒	khái
愓	đãng
愔	âm
愕	ngạc
愙	khác
愚	ngu
愛	ái
愜	khiếp
感	cảm
愠	uấn
愣	lăng
愤	phẫn
愦	hội
愧	quý
愨	xác
愫	tố
愬	tố
愮	dao
愯	tủng
愴	sảng
愷	khải
愼	thận
愽	bác
愾	khái
愿	nguyện
慁	hỗn
慂	dũng
慄	lật
慅	tao
慆	thao
慇	ân
慈	từ
慉	súc
慊	khiểm|khiết|khiếp
態	thái
慌	hoảng
慍	uấn
慎	thận
慑	nhiếp
慕	mộ
慘	thảm
慙	tàm
慚	tàm
慝	thắc
慟	thống
慢	mạn
慣	quán
慤	xác
慥	tháo
慧	tuệ
慨	khái
慪	âu
慫	tủng
慬	cần
慭	ngận
慮	lự
慰	uỷ|uý
慱	đoàn
慳	khan
慴	nhiếp
慵	dung
慶	khánh
慷	khảng
慼	thích
慽	thích
慾	dục
憀	liêu
憂	ưu
憃	thung
憇	khế
憊	bại
憋	biệt
憍	kiêu
憎	tăng
憐	liên
憑	bằng
憒	hội
憔	tiều
憖	ngận
憙	hỷ
憚	đạn
憝	đỗi
憤	phẫn
憧	sung
憨	hàm
憩	khế
憪	hàn
憫	mẫn
憬	cảnh
憭	liễu
憮	vũ
憯	thảm
憲	hiến
憶	ức
憷	sở
憸	tiêm
憹	não
憺	đảm
憾	hám
懂	đổng
懃	cần
懅	cứ
懆	thảo
懇	khẩn
懈	giải
應	ưng|ứng
懊	áo
懋	mậu
懌	dịch
懍	lẫm
懑	muộn
懒	lãn
懔	lẫm
懞	mông
懟	dỗi
懠	tê
懣	muộn
懤	trù
懥	chí
懦	nhu
懨	yêm
懫	chí
懮	ưu
懰	lưu
懱	miệt
懲	trừng
懵	mộng
懶	lãn
懷	hoài
懸	huyền
懺	sám
懼	cụ
懽	hoan
懾	nhiếp
懿	ý
戀	luyến
戁	nản
戄	quặc
戆	cống|tráng
