# chữ Hán → âm Hán-Việt ('|' ngăn cách nếu đa âm, âm đầu = mặc định).
茝	sải
茞	thần
茢	liệt
茥	khuê
茦	sách
茧	kiển
茨	tỳ
茫	mang
茬	tra
茭	giao
茯	phục
茱	thù
茲	tư|từ
茳	giang
茴	hồi
茵	nhân
茶	trà
茷	pha
茸	nhung
茹	như
茻	mãng
茼	đồng
荀	tuân
荃	thuyên
荄	cai
荅	đáp
荆	kinh
荇	hạnh
荈	suyễn
草	thảo|tháo
荊	kinh
荍	kiều
荏	nhẫm
荐	tiến
荑	đề|di
荒	hoang
荔	lệ
荘	trang
荙	đạt
荚	giáp
荛	nhiêu
荜	tất
荝	trắc
荞	kiều
荟	hội
荠	tề
荡	đãng
荣	vinh
荤	huân
荥	huỳnh
荦	lạc
荧	huỳnh
荨	kiền
荩	tẫn
荪	tôn
荫	ấm
荭	hồng
药	dược
荳	đậu
荷	hà|hạ
荸	bột
荻	địch
荼	đồ
荽	tuy
莅	lị
莆	bồ
莉	lị
莊	trang
莎	sa|toa
莒	cử
莓	môi
莔	manh
莖	hành
莘	sân|tân
莙	quân
莚	diên
莛	đình
莝	toả
莞	quan|quản|hoản
莠	dửu
莢	giáp
莧	hiện
莨	lang
莩	phu|biễu
莪	nga
莫	mạc
莱	lai
莲	liên
莳	thì|thi
莴	oa
获	hoạch
莸	du
莹	oánh
莺	oanh
莼	thuần
莽	mãng
莿	thích
菀	uyển|uất
菁	tinh
菂	đích
菅	gian
菆	tưu
菇	cô
菉	lục
菊	cúc
菌	khuẩn
菎	côn
菏	hà
菑	tai|tri
菓	quả
菔	bặc
菖	xương
菘	tùng
菜	thái
菟	thỏ
菠	ba
菡	hạm
菢	bão
菣	khẩn
菩	bồ
菪	đãng
菫	cận
華	hoa|hoá
菰	cô
菱	lăng
菲	phi|phỉ
菴	am
菶	bổng
菷	chổi
菸	yên|ư
菹	thư
菺	kiên
菼	thảm
菽	thục
菾	điềm
萁	ky
萃	tuỵ
萄	đào
萅	xuân
萆	tỳ
萇	trường
萊	lai
萋	thê
萌	manh
萍	bình
萎	uỷ
萏	đạm
萐	tiệp
萑	hoàn
萘	nại
萚	thác
萜	thiếp
萝	la
萤	huỳnh
营	doanh|dinh
萦	oanh
萧	tiêu
萨	tát
萩	thu
萬	vạn
萱	huyên
萲	huyên
萴	trắc
萵	oa
萸	du
萹	phiên|biển
萼	ngạc
落	lạc
葄	tộ
葅	thư
葆	bảo
葇	nhu
葉	diệp
葑	phong
葒	hồng
葖	đột
著	trước|trứ
葙	tương
葚	thậm
葛	cát
葠	sâm
葡	bồ
董	đổng
葥	tiền
葦	vĩ
葩	ba
葫	hồ
葬	táng
葭	gia
葯	dược
葱	thông
葳	uy
葴	châm
葵	quỳ
葶	đình
葷	huân
葸	tỷ
葹	thi
葺	tập
葽	yêu
蒂	đế
蒇	sản
蒉	quỹ
蒋	tưởng
蒌	lâu
蒎	phái
蒏	vinh
蒐	sưu
蒓	thuần
蒔	thì|thi
蒗	lạng
蒙	mông
蒜	toán
蒞	lị
蒟	củ
蒡	bảng
蒢	trừ
蒦	hoạch
蒨	thiến
蒪	thuần
蒭	sô
蒯	khoái
蒱	bồ
蒲	bồ
蒴	sóc
蒸	chưng
蒹	kiêm
蒺	tật
蒻	nhược
蒼	thương
蒽	ân
蒿	hao
蓀	tôn
蓁	trăn
蓂	minh
蓄	súc
蓆	tịch
蓇	cốt
蓉	dung
蓊	ống
蓋	cái
蓍	thi
蓏	loả
蓐	nhục
蓑	thoa
蓓	bội
蓖	bế
蓝	lam
蓟	kế
蓠	ly
蓡	sâm
蓣	dự
蓥	oánh
蓦	mạch
蓧	điệu
蓬	bồng
蓮	liên
蓯	thung
蓰	tỷ
蓱	bình
蓴	thuần
蓷	thôi
蓺	nghệ
蓼	liệu|lục
蓽	tất
蓿	túc
蔀	bộ
蔂	luy
蔆	lăng
蔇	ký
蔉	cổn
蔌	tốc
蔎	thiết
蔑	miệt
蔓	man|mạn
蔔	bặc
蔕	đế
蔗	giá
蔘	sâm
蔚	uất|uý
蔞	lâu
蔟	thốc
蔡	thái
蔣	tưởng
蔥	thông
蔦	điểu
蔫	yên
蔬	sơ
蔭	ấm
蔯	trần
蔴	ma
蔷	tường
蔹	liễm
蔺	lận
蔻	khấu
蔼	ái
蔽	tế
蔾	lê
蕁	kiền
蕃	phồn|phiền|phiên
蕆	sản
蕈	tẩm
蕉	tiêu
蕊	nhuỵ
蕋	nhị
蕍	du
蕎	kiều
蕑	gian
蕓	vân
蕕	du
蕖	cừ
蕘	nhiêu
蕙	huệ
蕚	ngạc
蕝	tuyệt
蕞	tối
蕠	như
蕡	phần
蕢	quỹ
蕤	nhuy
蕨	quyết
蕩	đãng
蕪	vu
蕭	tiêu
蕮	tích
蕰	uẩn
蕲	kỳ
蕳	gian
蕴	uẩn
蕷	dự
蕸	hà
蕹	ung
蕺	trấp
蕻	hống
蕾	lôi
蕿	huyên
薀	uẩn
薄	bạc
薅	hao
薆	ái
薇	vy
薈	hội
薉	uế
薊	kế
薌	hương
薏	ý
薐	lăng
薑	khương
薔	tường
薖	khoa
薘	đạt
薙	thế
薛	tiết
薜	bệ
薢	giải
薤	giới
薦	tiến
薧	khảo
薨	hoăng
薩	tát
薪	tân
薬	dược
薮	tẩu
薯	thự
薰	huân
薳	vĩ
薴	ninh
薶	mai
薷	nhu
薸	phiêu
薹	đài
薺	tề
薻	tảo
薽	chân
薾	nhĩ
薿	nghĩ
藁	cảo
藇	tự
藉	tá|tạ|tịch
藊	biển
藍	lam
藎	tẫn
藏	tạng|tàng
藐	miểu
藓	tiển
藕	ngẫu
藘	lư
藚	tục
藜	lê
藝	nghệ
藟	luỹ
藤	đằng
藥	dược
藦	ma
藨	biêu
藩	phiên
藪	tẩu
藭	cùng
藳	cảo
藴	uẩn
藶	lịch
藷	thự
藹	ái
藺	lận
藻	tảo
藼	huyên
藾	lại
藿	hoắc
蘀	thác
蘁	ngộ
蘂	nhuỵ
蘄	kỳ
蘅	hành
蘆	lô
蘇	tô
蘊	uẩn
蘋	bình|tần
蘐	huyên
蘑	ma
蘓	tô
蘖	nghiệt
蘗	nghiệt
蘘	nhương
蘚	tiển
蘝	liễm
蘞	liễm
蘢	long
蘤	hoa
蘧	cừ
蘩	phiền
蘭	lan
蘸	chấm
蘺	ly
蘼	my
蘿	la
虀	tê
虆	luy
虍	hô
虎	hổ
虏	lỗ
虐	ngược
虑	lự
虒	ty
虓	hao
虔	kiền
處	xử|xứ
虖	hô
虗	hư
虚	hư
虛	hư
虜	lỗ
虞	ngu
號	gào|hào|hiệu
虡	cự
虢	quắc
虣	bạo
虧	khuy
虩	khích
虫	trùng
虬	cầu
虮	kỷ
虯	cầu
虰	đinh
虱	sắt
虵	xà
虷	can
虹	hồng
虺	hôi|huỷ
虻	manh
虼	khất
虽	tuy
虾	hà
虿	sái
蚀	thực
蚁	nghĩ
蚂	mã
蚃	hưởng
蚄	phương
蚆	ba
蚈	khiên
蚉	văn
蚊	văn
蚋	nhuế
蚌	bạng
蚍	tỳ
蚓	dẫn
蚕	tằm
蚖	ngoan|nguyên
蚘	hồi
蚛	trọng
蚜	nha
蚡	phần
蚣	công
蚤	tảo
蚦	nhiêm
蚧	giới
蚨	phù
蚩	si
蚪	đẩu
蚬	hiện
蚯	khưu
蚰	du
蚱	trách
蚲	bình
蚳	trì
蚴	u
蚵	hà
蚶	ham
蚹	phụ
蚺	nhiêm
蚻	trát
蚿	huyền
蛀	chú
蛁	điêu
蛄	cô
蛅	chiêm
蛆	thư
蛇	xà
蛉	linh
蛊	cổ
蛋	đản
蛎	lệ
蛏	sanh
蛐	khúc
蛑	mâu
蛔	hồi
蛕	hồi
蛘	dạng
蛙	oa
蛚	liệt
蛛	chu
蛜	y
蛞	khoát
蛟	giao
蛣	kiết
蛤	cáp
蛩	cung
蛭	điệt
蛮	man
蛰	trập
蛱	giáp
蛲	nhiêu
蛳	sư
蛴	tề
蛸	sao
蛹	nhộng
蛺	giáp
蛻	thuế
蛾	nga
蜀	thục
蜂	phong
蜃	thận
蜆	hiện
蜇	triết
蜈	ngô
蜉	phù
蜊	lị
蜋	lang
蜍	thừ
蜎	quyên
蜑	đản
蜒	diên
蜓	đình
蜕	thuế
蜗	oa
蜘	tri
蜚	phỉ
蜛	cư
蜜	mật
蜞	kỳ
蜡	lạp
蜢	mãnh
蜣	khương
蜥	tích
蜨	điệp
蜩	điêu
蜮	vực
蜯	bạng
蜱	tỳ
蜴	dịch
蜷	quyền
蜺	nghê
蜻	thanh
蜽	lưỡng
蜾	quả
蜿	uyển
蝀	đông
蝃	đế|chuyết
蝄	võng
蝇	dăng
蝈	quắc
蝉	thiền
蝌	khoa
蝍	tức
蝎	hiết
蝐	mội
蝒	miễn
蝓	du
蝕	thực
蝗	hoàng
蝘	yển
蝙	biên|biển
蝝	duyên
蝟	vị
蝠	bức
蝡	nhuyễn
蝣	du
蝤	tù
蝥	mâu
蝦	hà
蝨	sắt
蝮	phúc
蝯	viên
蝰	khuê
蝱	manh
蝲	lạt
蝳	đại
蝴	hồ
蝶	điệp
蝸	oa
蝻	nam
蝼	lâu
蝾	vinh
螀	tương
螂	lang
螃	bàng
螄	sư
螅	tức
螈	nguyên
螉	ông
螋	sưu
融	dung
螎	dung
螓	tần
螗	đường
螘	nghĩ
螙	đố
螞	mã
螟	minh
螡	văn
螢	huỳnh
螣	đằng
螨	mãn
螫	thích
螬	tào
螭	ly
螮	đế
螯	ngao
螳	đường
螵	phiêu
螺	loa
螻	lâu
螽	chung
螾	dẫn
螿	tương
蟀	suất
蟁	văn
蟄	trập
蟆	mô
蟇	mạc
蟈	quắc
蟊	mâu
蟋	tất
蟎	mãn
蟏	tiêu
蟑	chương
蟒	mãng
蟓	tượng
蟛	bành
蟜	kiểu
蟟	liêu
蟠	bàn
蟢	hỷ
蟣	kỷ
蟥	hoàng
蟨	quyết
蟪	huệ
蟬	thiền
蟮	thiện
蟯	nhiêu
蟲	trùng
蟶	sanh
蟷	đương
蟹	giải
蟺	thiện
蟻	nghĩ
蟾	thiềm
蠁	hưởng
蠂	nhiếp
蠃	loả
蠅	dăng
蠆	sái
蠉	huyên
蠊	liêm
蠋	trục
蠍	hiết
蠎	mãng
蠏	giải
蠐	tề
蠑	vinh
蠒	kiển
蠓	mông
蠔	hào
蠕	nhu
蠖	hoạch
蠙	tân
蠚	nhược
蠛	miệt
蠜	phàn
蠟	lạp
蠡	lê|lễ|lãi
蠢	xuẩn
蠣	lệ
蠧	đố
蠨	tiêu
蠩	chư
蠭	phong
蠮	ế
蠱	cổ
蠲	quyên
蠵	huề
蠶	tằm
蠷	cù
蠸	quyền
蠹	đố
蠻	man
蠼	quặc
蠽	tiệt
血	huyết
衁	hoang
衂	nục
衄	nục
衅	hấn
衆	chúng
衇	mạch
衈	nhị
衉	khách
衊	miệt
衋	hức
行	hàng|hạng|hành|hạnh
衍	diễn
衎	khản
衒	huyễn
術	thuật
衔	hàm
衕	đồng
衖	hạng
街	nhai
衙	nha
衚	hồ
衛	vệ
衝	xung
衞	vệ
衟	đạo
衡	hành
衢	cù
衣	y|ý
衤	y
补	bổ
表	biểu
衩	sái
衫	sam
衬	sấn
衭	phu
衮	cổn
衰	thôi|suy
衲	nạp
衵	nật
衷	trung
衹	chỉ|kỳ
衺	tà
衽	nhẫm
衾	khâm
衿	câm
袁	viên
袂	mệ
袄	áo
袅	niểu
袆	huy
袈	cà
袋	đại
袍	bào
袎	áo
袒	đản
袖	tụ
袗	chẩn
袚	phất
袜	vạt
袞	cổn
袟	trật
袠	trật
袢	phán
袤	mậu
袪	khư
被	bị
袭	tập
袯	bát
袱	phục
袲	di
袴	khố
袵	nhẫm
袷	giáp
袺	kết
袼	các
袽	như
袿	khuê
裀	nhân
裁	tài
裂	liệt
装	trang
裆	đũng
裈	côn
裉	khẳng
裊	niểu
裋	thụ
裌	giáp
裎	trình
裏	lý
裒	bầu
裔	duệ
裕	dụ
裘	cừu
裙	quần
裛	ấp
補	bổ
裝	trang
裟	sa
裠	quần
裡	lý
裢	liên
裣	liễm
裤	khố
裥	giản
裨	bì|tì
裩	côn
裯	trù
裰	xuyết|chuyết
裱	biểu
裲	lưỡng
裳	thường
裴	bùi
裸	loã|khoả
裹	khoả
裼	thế|tích
製	chế
裾	cư
褂	quái
複	phức
褊	biển
褌	côn
褎	tụ
褏	tụ
褐	hạt
褒	bao
褓	bảo
褔	phó
褕	du
褘	huy
褙	bối
褚	trữ
褛	lũ
褝	đan
褟	tháp
褡	đáp
褢	hoài
褥	nhục
褦	nại
褧	quýnh
褪	thoái|thốn
褫	sỉ
褭	niểu
褯	tạ
褰	khiên
褱	hoài
褲	khố
褳	liên
褴	lam
褵	ly
褶	tập|triệp
褸	lũ
褻	tiết
褽	uý
褾	biểu
襁	cưỡng
襃	bao
襄	tương
襆	phộc
襇	giản
襋	cức
襌	đan
襍	tạp
襏	bát
襕	lan
襖	áo
襚	tuỳ
襛	nùng
襜	xiêm
襝	liễm
襞	bích
襟	khâm
襠	đũng
襡	thục
襢	đản|triển
襤	lam
襥	bộc
襦	nhu
襪	vạt
襫	thích
襬	bãi
襭	hiệt
襮	bộc
襯	sấn
襲	tập
襴	lan
襶	đái
襻	phán
襼	nghệ
襾	á
西	tây
覀	á
要	yêu|yếu
覂	phủng
覃	đàm
覅	phiếu
覆	phúc
覇	bá
覈	hạch
覉	ky
覊	ky
見	kiến|hiện
規	quy
覓	mịch
覔	mịch
視	thị
覗	tư
覘	chiêm
覚	giác
覜	thiếu
覡	hích
覤	khích
覥	điễn
覦	du
覧	lãm
覩	đổ
親	thân|thấn
覬	ký
覯	cấu
覰	thứ
覲	cận
観	quan
覷	thứ
覺	giáo|giác
覽	lãm
覿	địch
觀	quán|quan
见	kiến|hiện
观	quán|quan
规	quy
觅	mịch
视	thị
觇	chiêm
览	lãm
觉	giáo|giác
觊	ký
觋	hích
觌	địch
觍	điễn
觎	du
觏	cấu
觐	cận
觑	thứ
角	giác|giốc|góc
觔	cân
觕	thô
觖	quyết
觚	cô
觜	tuy|chuỷ
觝	để
觞	thương
觡	cách
解	giải
觥	quang
触	xúc
觧	giải
觩	cầu
觫	tốc
觭	cơ
觯	chí
觱	tất
觳	hộc
觴	thương
觵	quang
觶	chí
觷	hạc
觸	xúc
觺	nghi
觼	quyết
觽	huề
觿	huề
言	ngôn
訂	đính
訃	phó
訄	cầu
訇	hoanh
計	kế
訊	tấn
訌	hồng
討	thảo
訏	hu
訐	kiết
訑	di
訒	nhẫn
訓	huấn
訕	san
訖	cật
託	thác
記	ký
訚	ngân
訛	ngoa
訝	ngạc
訟	tụng
訢	hân
訣	quyết
訥	nột
訧	vưu
訪	phỏng|phóng
訬	sao
設	thiết
許	hứa
訴	tố
訶	ha
訹	tuất
診	chẩn
註	chú
証	chứng
訾	ti|tí
詀	chiêm
詁	cổ
詅	linh
詆	để
詈	lị
詎	cự
詐	trá
詑	tha
詒	di
詔	chiếu
評	bình
詖	bí
詗	huýnh
詘	truất
詛	rủa
詞	từ
詟	triệp
詠	vịnh
詡	hủ
詢	tuân
詣	nghệ
試	thí
詧	sát
詨	giáo
詩	thi
詫	sá
詬	cấu
詭	quỷ
詮	thuyên
詰	cật
話	thoại
該	cai
詳	tường
詵	sân
詶	thù
詹	chiêm
詻	ách
詼	khôi
詿	quái
誂	điểu
誃	xỉ
誄	luỵ
誅	tru
誆	cuống
誇	khoa
誉	dự
誊	đằng
誋	kỵ
誌	chí
認	nhận
誑	cuống
誒	ai|hy
誓	thệ
誕	đản
誖	bội
誘	dụ
誙	khanh
誚	tiếu
語	ngữ|ngứ
誠	thành
誡	giới
誣	vu
誤	ngộ
誥	cáo
誦	tụng
誨	hối
說	thuyết|thuế
説	thuyết
誰	thuỳ
課	khoá
誶	tối
誹	phỉ
誼	nghị
誾	ngân
調	điệu|điều
諂	siểm
諄	truân
諆	khi
談	đàm
諉	uỷ
請	thỉnh
諍	tránh
諏	tưu
諐	khiên
諑	trác
諒	lượng
諕	hào
論	luận
諗	thẩm
諙	thoại
諛	du
諜	điệp
諝	tư
諞	biển
諟	thị
諠	huyên
諡	thuỵ
諢	hộn
諤	ngạc
諦	đế
諧	hài
諫	gián
諭	dụ
諮	tư
諱	huý
諳	am
諴	hàm
諵	nam
諶	kham
諷	phúng
諸	chư|gia
諺	ngạn
諼	huyên
諾	nặc
謀	mưu
謁	yết
謂	vị
謄	đằng
謅	sưu
謆	phiến
謇	kiển
謊	hoang
謋	hoạch
謌	ca
謍	doanh
謎	mê
謏	tẩu|tiểu
謐	mịch
謑	hệ
謔	hước
謖	tắc
謗	báng
謙	khiêm
謚	thuỵ|ích
講	giảng
謝	tạ
謠	dao
謡	dao
謦	khánh
謨	mô
謩	mô
謪	trích
謫	trích
謬	mậu
謭	tiễn
謳	âu
謷	ngao
謹	cẩn
謼	hô
謾	man|mạn
譁	hoa
譅	sáp
譆	hi
譈	đỗi
證	chứng
譊	nao
譌	ngoa
譎	quyệt
譏	cơ
譔	soạn
譖	trấm
識	thức|chí
譙	tiều|tiếu
譚	đàm
譜	phả|phổ
譟	táo
警	cảnh
譩	y
譫	chiêm
譬	thí
譭	huỷ
譯	dịch
議	nghị
譱	thiện
譴	khiển
譶	đạp
護	hộ
譸	trù
譹	gào|hào
譽	dự
譾	tiễn
讀	đậu|đọc|độc
讁	trích
讅	thẩm
讆	nguỵ
讇	siểm
變	biến
讋	triệp
讌	yến
讎	thù
讏	vệ
讐	thù
讒	sàm
讓	nhượng
讕	lan
讖	sấm
讘	triếp
讙	hoan
讚	tán
讜	đảng
讞	nghiệm
讟	độc
计	kế
订	đính
讣	phó
认	nhận
讥	cơ
讦	kiết
讧	hồng
讨	thảo
让	nhượng
讪	san
讫	cật
讬	thác
训	huấn
议	nghị
讯	tấn
记	ký
讱	nhẫn
讲	giảng
讳	huý
讴	âu
讵	cự
讶	ngạc
讷	nột
许	hứa
讹	ngoa
论	luận
讼	tụng
讽	phúng
设	thiết
访	phỏng|phóng
诀	quyết
证	chứng
诂	cổ
诃	ha
评	bình
诅	rủa
识	thức|chí
诇	huýnh
诈	trá
诉	tố
诊	chẩn
诋	để
诌	sưu
词	từ
诎	truất
诏	chiếu
诐	bí
译	dịch
诒	di
诓	cuống
诔	luỵ
试	thí
诖	quái
诗	thi
诘	cật
诙	khôi
诚	thành
诛	tru
诜	sân
话	thoại
诞	đản
诟	cấu
诠	thuyên
诡	quỷ
询	tuân
诣	nghệ
诤	tránh
该	cai
详	tường
诧	sá
诨	hộn
诩	hủ
诪	trù
诫	giới
诬	vu
语	ngữ|ngứ
诮	tiếu
误	ngộ
诰	cáo
诱	dụ
诲	hối
诳	cuống
说	thuyết|thuế
诵	tụng
诶	ai|hy
请	thỉnh
诸	chư|gia
诹	tưu
诺	nặc
读	đậu|đọc|độc
诼	trác
诽	phỉ
课	khoá
诿	uỷ
谀	du
谁	thuỳ
谂	thẩm
调	điệu|điều
谄	siểm
谅	lượng
谆	truân
谇	tối
谈	đàm
谉	thẩm
谊	nghị
谋	mưu
谌	kham
谍	điệp
谎	hoang
谏	gián
谐	hài
谑	hước
谒	yết
谓	vị
谔	ngạc
谕	dụ
谖	huyên
谗	sàm
谘	tư
谙	am
谚	ngạn
谛	đế
谜	mê
谝	biển
谞	tư
谟	mô
谠	đảng
谡	tắc
谢	tạ
谣	dao
谤	báng
谥	thuỵ|ích
谦	khiêm
谧	mịch
谨	cẩn
谩	man|mạn
谪	trích
谫	tiễn
谬	mậu
谭	đàm
谮	trấm
谯	tiều|tiếu
谰	lan
谱	phả|phổ
谲	quyệt
谳	nghiệm
谴	khiển
谵	chiêm
谶	sấm
谷	cốc|dục
谽	hàm
谿	khê
豁	khoát
豆	đậu
豇	giang
豈	khải|khởi
豉	thị
豊	phong|lễ
豋	đăng
豌	oản
豎	thụ
豏	hãm
豐	phong
豑	trật
豓	diễm
豔	diễm
豕	thỉ
豖	súc
豗	hôi
豚	đồn
豜	kiên
豝	ba
象	tượng
豢	hoạn
豣	kiên
豦	cứ
豨	heo
豪	hào
豫	dự
豬	trư
豭	gia
豮	phần
豱	ôn
豳	bân
豵	tông
豶	phần
豷	ế
豸	trĩ
豹	báo
豺	sài
豻	ngạn|ngan
貂	điêu
貅	hưu
貆	hoan
貉	hào|hạc|mạch
貊	mạch
貌	mạo
貍	ly
貎	nghê
貓	miêu
貔	tỳ
貘	mạc
貙	sơ
貛	hoan
貜	cước
貝	bối
貞	trinh
貟	viên
負	phụ
財	tài
貢	cống
貤	di
貧	bần
貨	hoá
販	phiến
貪	tham
貫	quán
責	trách
貯	trữ
貰	thế
貲	tư
貳	nhị
貴	quý
貶	biếm
買	mãi
貸	thải
貺	huống
費	phí
貼	thiếp
貽	di
貿	mậu
賀	hạ
賁	bôn|bí
賂	lộ
賃	lẫm|nhẫm
賄	hối
賅	cai
資	tư
賈	giả|cổ
賉	tuất
賊	tặc
賑	chẩn
賒	xa
賓	tân
賕	cầu
賙	chu
賚	lại
賛	tán
賜	tứ
賝	sâm
賞	thưởng
賠	bồi
賡	canh
賢	hiền
賣	mại
賤	tiện
賥	tuý
賦	phú
賧	đàm
賨	tung
質	chất
賫	tê
賬	trướng
賭	đổ
賮	tẫn
賴	lại
賵	phúng
賷	tê
賸	thặng
賺	trám
賻	phụ
購	cấu
賽	tái
賾	trách
贄	chí
贅	chuế
贇	uân
贈	tặng
贉	đảm
贊	tán
贋	nhạn
贍	thiệm
贏	doanh
贐	tẫn
贑	cám
贓	tang
贔	bí
贕	độc
贖	chuộc
贗	nhạn
贛	cám
贜	tang
贝	bối
贞	trinh
负	phụ
贠	viên
贡	cống
财	tài
责	trách
贤	hiền
败	bại
账	trướng
货	hoá
质	chất
贩	phiến
贪	tham
贫	bần
贬	biếm
购	cấu
贮	trữ
贯	quán
贰	nhị
贱	tiện
贲	bôn|bí
贳	thế
贴	thiếp
贵	quý
贶	huống
贷	thải
贸	mậu
费	phí
贺	hạ
贻	di
贼	tặc
贽	chí
贾	giả|cổ
贿	hối
赀	tư
赁	lẫm|nhẫm
赂	lộ
赃	tang
资	tư
赅	cai
赆	tẫn
赇	cầu
赈	chẩn
赉	lại
赊	xa
赋	phú
赌	đổ
赍	tê
赎	chuộc
赏	thưởng
赐	tứ
赑	bí
赒	chu
赓	canh
赔	bồi
赕	đàm
赖	lại
赗	phúng
赘	chuế
赙	phụ
赚	trám
赛	tái
赜	trách
赝	nhạn
赞	tán
赟	uân
赠	tặng
赡	thiệm
赢	doanh
赣	cám
赤	xích
赦	xá
赧	noản
赩	hách
赪	trinh
赫	hách
赬	trinh
赭	giả
赯	đường
走	tẩu
赱	tẩu
赳	củ
赴	phó
赵	triệu
赶	cản
起	khởi
赸	sán
趁	sấn
趂	sấn
趄	thư|thiết
超	siêu
越	việt
趋	xu
趑	tư
趒	điêu
趔	liệt
趕	cản
趙	triệu
趟	thảng
趡	thuỷ
趣	thú
趦	tư
趨	xu
趫	kiều
趮	táo
趯	địch|dược
趱	toản
趲	toản
足	tú|túc
趴	bát
趵	báo
趸	độn
趹	quyết
趺	phu
趼	kiển
趾	chỉ
趿	táp
跁	bả
跂	kịch|kỳ|khí|chi
跃	dược
跄	thương
跅	thác
跆	đài
跋	bạt
跌	trượt|điệt
跎	đà
跏	già
跐	thử
跑	bào
跕	điệt
跖	chích
跗	phu
跚	san
跛	bả
距	cự
跞	lịch
跟	cân
跡	tích
跣	tiển
跤	giao
跥	đoạ
跦	trù
跧	thuyên
跨	khoá
跪	quỵ
跫	cung
跬	khuể
跮	sí
路	lộ
跱	trĩ
跲	vấp
跳	khiêu
跴	thải
践	tiễn
跶	đáp
跷	khiêu
跸	tất
跹	tiên
跺	đoá
跻	tê
跼	cục
跽	kỵ
踁	hĩnh
踅	thệ|tuyệt
踆	thuân
踈	sơ
踉	lương|lượng
踊	dũng
踋	cước
踌	trù
踏	đạp
踐	tiễn
踔	xước
踖	tích
踘	cúc
踝	hoã|khoả
踞	cứ
踟	trì
踠	oản
踡	quyền
踢	thích
踣	bặc
踤	tột
踥	thiếp
踦	kỷ
踧	túc
踩	thải
踪	tung
踫	bính
踬	chí
踮	điểm
踯	trịch
